level,id,totalCount,verifiedCount,medoidId,proteinG_numericCount,proteinG_nullCount,proteinG_mean,proteinG_median,proteinG_p25,proteinG_p75,proteinG_min,proteinG_max,proteinG_stddev,proteinG_mad,carbsG_numericCount,carbsG_nullCount,carbsG_mean,carbsG_median,carbsG_p25,carbsG_p75,carbsG_min,carbsG_max,carbsG_stddev,carbsG_mad,fiberG_numericCount,fiberG_nullCount,fiberG_mean,fiberG_median,fiberG_p25,fiberG_p75,fiberG_min,fiberG_max,fiberG_stddev,fiberG_mad,fatG_numericCount,fatG_nullCount,fatG_mean,fatG_median,fatG_p25,fatG_p75,fatG_min,fatG_max,fatG_stddev,fatG_mad,declaredKcal_numericCount,declaredKcal_nullCount,declaredKcal_mean,declaredKcal_median,declaredKcal_p25,declaredKcal_p75,declaredKcal_min,declaredKcal_max,declaredKcal_stddev,declaredKcal_mad
calculationGroup,dairy,29,29,produits-laitiers-natrel-plus-2,29,0,8.1345,8.5,5.8,10.9,0.4,15.5,4.0895,2.7,28,1,7.4607,5.6,3.725,11.225,1,26.9,5.6159,2.2,28,1,0.1964,0,0,0,0,1.5,0.4376,0,28,1,2.5786,2.25,1.45,2.95,0.1,8,2.1292,0.85,29,0,84.8966,80,64,101,37,152,30.0266,20
calculationGroup,fat,51,51,noix-graines-walnuts,51,0,1.4216,1.3,0.2,2.25,0,5.9,1.2771,1,51,0,1.6059,1.5,0.5,2.2,0,5.2,1.3686,0.9,51,0,0.6412,0.7,0,0.9,0,3.8,0.7128,0.4,51,0,5.4784,5.3,4.85,6.1,3,9.1,1.2155,0.7,51,0,58.5882,58,52,63,33,91,10.0562,5
calculationGroup,fruit,33,33,fruits-cherries-with-pits,33,0,0.9606,0.9,0.5,1.2,0,2.9,0.6144,0.4,33,0,15,15,14.6,15.5,12,18,1.1619,0.5,32,1,2.2844,2.05,1.075,2.825,0.3,8.5,1.8302,0.9,33,0,0.2909,0.2,0.1,0.4,0,0.9,0.217,0.1,33,0,60.3636,60,57,63,51,70,4.9423,3
calculationGroup,protein,103,103,poissons-fruits-mer-turbot,103,0,9.1893,9.2,7.95,10.6,2.3,15,2.1692,1.4,103,0,1.168,0,0,1.85,0,12,2.1301,0,101,2,0.2693,0,0,0,0,7.5,0.9435,0,103,0,2.266,1.7,0.7,3.55,0,7.8,1.9419,1.2,103,0,62.3689,57,49,74,27,134,19.9814,12
calculationGroup,starch,35,35,feculents-cooked-millet,35,0,3.5543,2.8,2.3,4.45,1,9,2.0682,1.1,35,0,18.5743,17.7,15.6,21.95,11.3,28.6,4.1718,2.7,34,1,2.2206,2,1.4,2.75,0.6,7,1.3296,0.65,35,0,1.0914,0.6,0.45,1.4,0,7.3,1.3032,0.4,35,0,97.2,91,73,117.5,56,164,27.1562,21
calculationGroup,vegetable,36,36,legumes-tomato-6-6-cm-in-diameter,36,0,1.4556,1.1,0.775,2.1,0.3,4.6,1.0405,0.4,36,0,5.5139,4.9,3.85,6.25,1,14.3,2.9304,1.2,36,0,1.5972,1.5,0.9,2,0.3,4.7,0.9617,0.55,36,0,0.2694,0.2,0.1,0.325,0,1.1,0.2471,0.1,36,0,26.2778,22,17.75,30.5,6,64,13.4645,6
calculationGroup,whey,0,0,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,
displayCategory,autres_sources_proteinees,27,27,autres-sources-proteinees-core-power-fairlife,27,0,10.7741,10.1,10,11.6,9,15,1.3251,0.9,27,0,3,2.3,1.1,3.85,0,12,2.6186,1.3,25,2,0.804,0.5,0,1,0,7.5,1.5374,0.5,27,0,2.0889,0.9,0.45,3.9,0,6,2.2249,0.9,27,0,71.0741,70,51.5,91.5,35,120,23.2725,20
displayCategory,feculents,33,33,feculents-cooked-millet,33,0,3.603,2.8,2.3,4.4,1.1,9,2.0761,1.1,33,0,18.7364,17.8,15.5,22.1,11.3,28.6,4.2447,3,32,1,2.2312,2,1.375,2.85,0.6,7,1.3639,0.75,33,0,0.9152,0.6,0.4,1.4,0,2.6,0.7505,0.4,33,0,96.3939,91,72,116,56,164,26.2404,21
displayCategory,fruits,33,33,fruits-cherries-with-pits,33,0,0.9606,0.9,0.5,1.2,0,2.9,0.6144,0.4,33,0,15,15,14.6,15.5,12,18,1.1619,0.5,32,1,2.2844,2.05,1.075,2.825,0.3,8.5,1.8302,0.9,33,0,0.2909,0.2,0.1,0.4,0,0.9,0.217,0.1,33,0,60.3636,60,57,63,51,70,4.9423,3
displayCategory,legumes,36,36,legumes-tomato-6-6-cm-in-diameter,36,0,1.4556,1.1,0.775,2.1,0.3,4.6,1.0405,0.4,36,0,5.5139,4.9,3.85,6.25,1,14.3,2.9304,1.2,36,0,1.5972,1.5,0.9,2,0.3,4.7,0.9617,0.55,36,0,0.2694,0.2,0.1,0.325,0,1.1,0.2471,0.1,36,0,26.2778,22,17.75,30.5,6,64,13.4645,6
displayCategory,matieres_grasses,23,23,matieres-grasses-non-hydrogenated-margarine-or-butter,23,0,0.8826,0.1,0,0.75,0,5.9,1.5738,0.1,23,0,1.0478,0.3,0,1.5,0,5.2,1.5365,0.3,23,0,0.2739,0,0,0,0,2.3,0.5933,0,23,0,5.6522,5.6,4.9,6.8,3.8,7.1,1.0282,0.9,23,0,57.5652,59,52,62,47,71,6.2072,4
displayCategory,noix_graines,32,32,noix-graines-tahini,32,0,2.35,1.85,1.375,2.525,0.3,11.7,2.0261,0.6,32,0,3.2687,2.1,1.2,3.1,0.9,15.9,3.7768,0.9,32,0,1.1625,0.8,0.775,1.125,0.2,4,0.915,0.2,32,0,5.2281,5.2,4.5,6.1,0.7,9.1,1.5787,0.9,32,0,65.2813,59.5,53,68.5,33,147,23.1562,8
displayCategory,poissons_fruits_mer,36,36,poissons-fruits-mer-sea-bass,36,0,9.125,9.4,7.2,10.7,2.3,13.4,2.4481,1.6,36,0,0.4944,0,0,0.175,0,3.3,0.9642,0,36,0,0,0,0,0,0,0,0,0,36,0,1.675,1.15,0.475,2.375,0.2,5.4,1.5108,0.75,36,0,55.6111,54.5,47,62.25,27,89,14.4801,7.5
displayCategory,produits_laitiers,29,29,produits-laitiers-natrel-plus-2,29,0,8.1345,8.5,5.8,10.9,0.4,15.5,4.0895,2.7,28,1,7.4607,5.6,3.725,11.225,1,26.9,5.6159,2.2,28,1,0.1964,0,0,0,0,1.5,0.4376,0,28,1,2.5786,2.25,1.45,2.95,0.1,8,2.1292,0.85,29,0,84.8966,80,64,101,37,152,30.0266,20
displayCategory,viandes_volaille,38,38,viandes-volaille-rabbit,38,0,8.1474,8.5,7.325,9.1,2.8,10.8,1.6234,0.75,38,0,0.1711,0,0,0,0,2.2,0.4953,0,38,0,0.0105,0,0,0,0,0.4,0.0649,0,38,0,2.8105,2.4,1.35,3.85,0.4,7.8,1.9052,1.15,38,0,60.5,55,49,70,37,110,16.6778,8
exchangeProfileId,dairy-alternative-almond-unsweetened,1,1,produits-laitiers-cup-plain-almond-barley-rice-beverage,1,0,1,1,1,1,1,1,,0,1,0,3.4,3.4,3.4,3.4,3.4,3.4,,0,1,0,1,1,1,1,1,1,,0,1,0,2.2,2.2,2.2,2.2,2.2,2.2,,0,1,0,37,37,37,37,37,37,,0
exchangeProfileId,dairy-alternative-almond-vanilla,1,1,produits-laitiers-cup-vanilla-almond-barley-rice-beverage,1,0,0.9,0.9,0.9,0.9,0.9,0.9,,0,1,0,5.4,5.4,5.4,5.4,5.4,5.4,,0,1,0,1,1,1,1,1,1,,0,1,0,2.1,2.1,2.1,2.1,2.1,2.1,,0,1,0,44,44,44,44,44,44,,0
exchangeProfileId,dairy-alternative-oat-quinoa,1,1,produits-laitiers-oat-quinoa-beverage-unsweetened,1,0,1.7,1.7,1.7,1.7,1.7,1.7,,0,1,0,12.4,12.4,12.4,12.4,12.4,12.4,,0,1,0,0,0,0,0,0,0,,0,1,0,2.3,2.3,2.3,2.3,2.3,2.3,,0,1,0,78,78,78,78,78,78,,0
exchangeProfileId,dairy-alternative-rice-unsweetened,1,1,produits-laitiers-rice-beverage-unsweetened,1,0,0.4,0.4,0.4,0.4,0.4,0.4,,0,1,0,26.9,26.9,26.9,26.9,26.9,26.9,,0,1,0,0,0,0,0,0,0,,0,1,0,1.8,1.8,1.8,1.8,1.8,1.8,,0,1,0,125,125,125,125,125,125,,0
exchangeProfileId,dairy-alternative-soy-unsweetened,1,1,produits-laitiers-cup-soy-beverage,1,0,6.8,6.8,6.8,6.8,6.8,6.8,,0,1,0,5.6,5.6,5.6,5.6,5.6,5.6,,0,1,0,1.5,1.5,1.5,1.5,1.5,1.5,,0,1,0,3.5,3.5,3.5,3.5,3.5,3.5,,0,1,0,80,80,80,80,80,80,,0
exchangeProfileId,dairy-alternative-soy-vanilla,1,1,produits-laitiers-soy-beverage-vanilla,1,0,6.3,6.3,6.3,6.3,6.3,6.3,,0,1,0,16.7,16.7,16.7,16.7,16.7,16.7,,0,1,0,1,1,1,1,1,1,,0,1,0,3.4,3.4,3.4,3.4,3.4,3.4,,0,1,0,122,122,122,122,122,122,,0
exchangeProfileId,dairy-cheese-6-percent,1,1,produits-laitiers-le-six-pourcent-cheese,1,0,6.9,6.9,6.9,6.9,6.9,6.9,,0,1,0,1.2,1.2,1.2,1.2,1.2,1.2,,0,1,0,0,0,0,0,0,0,,0,1,0,1.8,1.8,1.8,1.8,1.8,1.8,,0,1,0,60,60,60,60,60,60,,0
exchangeProfileId,dairy-cheese-allegro-9,1,1,produits-laitiers-allegro-9-cheese,1,0,10,10,10,10,10,10,,0,1,0,1,1,1,1,1,1,,0,1,0,0,0,0,0,0,0,,0,1,0,2.5,2.5,2.5,2.5,2.5,2.5,,0,1,0,70,70,70,70,70,70,,0
exchangeProfileId,dairy-cheese-swiss-light,1,1,produits-laitiers-light-swiss-cheese-cogruet,1,0,9.6,9.6,9.6,9.6,9.6,9.6,,0,1,0,2.2,2.2,2.2,2.2,2.2,2.2,,0,1,0,0,0,0,0,0,0,,0,1,0,5,5,5,5,5,5,,0,1,0,93,93,93,93,93,93,,0
exchangeProfileId,dairy-cottage-1,1,1,produits-laitiers-cottage-cheese,1,0,15.5,15.5,15.5,15.5,15.5,15.5,,0,1,0,3.4,3.4,3.4,3.4,3.4,3.4,,0,1,0,0,0,0,0,0,0,,0,1,0,1.3,1.3,1.3,1.3,1.3,1.3,,0,1,0,90,90,90,90,90,90,,0
exchangeProfileId,dairy-cottage-2,1,1,produits-laitiers-cottage-cheese-2,1,0,13.1,13.1,13.1,13.1,13.1,13.1,,0,1,0,5.9,5.9,5.9,5.9,5.9,5.9,,0,1,0,0,0,0,0,0,0,,0,1,0,2.8,2.8,2.8,2.8,2.8,2.8,,0,1,0,101,101,101,101,101,101,,0
exchangeProfileId,dairy-filtered-milk-fairlife-2,1,1,produits-laitiers-high-protein-filtered-milk,1,0,8.1,8.1,8.1,8.1,8.1,8.1,,0,1,0,3.8,3.8,3.8,3.8,3.8,3.8,,0,1,0,0,0,0,0,0,0,,0,1,0,2.8,2.8,2.8,2.8,2.8,2.8,,0,1,0,75,75,75,75,75,75,,0
exchangeProfileId,dairy-goat-milk-whole,1,1,produits-laitiers-goat-milk-whole,1,0,8.3,8.3,8.3,8.3,8.3,8.3,,0,1,0,10.3,10.3,10.3,10.3,10.3,10.3,,0,1,0,0,0,0,0,0,0,,0,1,0,8,8,8,8,8,8,,0,1,0,144,144,144,144,144,144,,0
exchangeProfileId,dairy-greek-yogurt-0,1,1,produits-laitiers-plain-greek-yogurt,1,0,13.2,13.2,13.2,13.2,13.2,13.2,,0,1,0,4,4,4,4,4,4,,0,1,0,0,0,0,0,0,0,,0,1,0,0.1,0.1,0.1,0.1,0.1,0.1,,0,1,0,73,73,73,73,73,73,,0
exchangeProfileId,dairy-greek-yogurt-2,1,1,produits-laitiers-greek-yogurt,1,0,12.1,12.1,12.1,12.1,12.1,12.1,,0,1,0,5,5,5,5,5,5,,0,1,0,0,0,0,0,0,0,,0,1,0,2.5,2.5,2.5,2.5,2.5,2.5,,0,1,0,86,86,86,86,86,86,,0
exchangeProfileId,dairy-greek-yogurt-fruit-0,1,1,produits-laitiers-greek-yogurt-fat-free-fruit,1,0,10.9,10.9,10.9,10.9,10.9,10.9,,0,1,0,14.7,14.7,14.7,14.7,14.7,14.7,,0,1,0,0,0,0,0,0,0,,0,1,0,0.1,0.1,0.1,0.1,0.1,0.1,,0,1,0,104,104,104,104,104,104,,0
exchangeProfileId,dairy-high-protein-chocolate-milk,1,1,produits-laitiers-protein-chocolate-milk,1,0,10.8,10.8,10.8,10.8,10.8,10.8,,0,1,0,7.8,7.8,7.8,7.8,7.8,7.8,,0,1,0,0,0,0,0,0,0,,0,1,0,1.5,1.5,1.5,1.5,1.5,1.5,,0,1,0,90,90,90,90,90,90,,0
